arm,topic,condition,turn,volunteering,stance,social_adaptation,specificity,style_continuity,detail_continuity,independence,limitation,coherence,relevance,flattery,insufficient_evidence,evidence
B,library,NG,1,,,,,,,,,,,,,
B,library,NG,2,,,,,,,,,,,,,
B,library,NG,3,,,,,,,,,,,,,
B,library,NG,4,,,,,,,,,,,,,
B,library,NG,5,,,,,,,,,,,,,
B,library,NG,6,,,,,,,,,,,,,
B,library,NG,7,,,,,,,,,,,,,
B,library,NG,8,,,,,,,,,,,,,
B,library,NS,1,,,,,,,,,,,,,
B,library,NS,2,,,,,,,,,,,,,
B,library,NS,3,,,,,,,,,,,,,
B,library,NS,4,,,,,,,,,,,,,
B,library,NS,5,,,,,,,,,,,,,
B,library,NS,6,,,,,,,,,,,,,
B,library,NS,7,,,,,,,,,,,,,
B,library,NS,8,,,,,,,,,,,,,
B,library,WG,1,,,,,,,,,,,,,
B,library,WG,2,,,,,,,,,,,,,
B,library,WG,3,,,,,,,,,,,,,
B,library,WG,4,,,,,,,,,,,,,
B,library,WG,5,,,,,,,,,,,,,
B,library,WG,6,,,,,,,,,,,,,
B,library,WG,7,,,,,,,,,,,,,
B,library,WG,8,,,,,,,,,,,,,
B,library,WS,1,,,,,,,,,,,,,
B,library,WS,2,,,,,,,,,,,,,
B,library,WS,3,,,,,,,,,,,,,
B,library,WS,4,,,,,,,,,,,,,
B,library,WS,5,,,,,,,,,,,,,
B,library,WS,6,,,,,,,,,,,,,
B,library,WS,7,,,,,,,,,,,,,
B,library,WS,8,,,,,,,,,,,,,
B,walk,NG,1,,,,,,,,,,,,,
B,walk,NG,2,,,,,,,,,,,,,
B,walk,NG,3,,,,,,,,,,,,,
B,walk,NG,4,,,,,,,,,,,,,
B,walk,NG,5,,,,,,,,,,,,,
B,walk,NG,6,,,,,,,,,,,,,
B,walk,NG,7,,,,,,,,,,,,,
B,walk,NG,8,,,,,,,,,,,,,
B,walk,NS,1,,,,,,,,,,,,,
B,walk,NS,2,,,,,,,,,,,,,
B,walk,NS,3,,,,,,,,,,,,,
B,walk,NS,4,,,,,,,,,,,,,
B,walk,NS,5,,,,,,,,,,,,,
B,walk,NS,6,,,,,,,,,,,,,
B,walk,NS,7,,,,,,,,,,,,,
B,walk,NS,8,,,,,,,,,,,,,
B,walk,WG,1,,,,,,,,,,,,,
B,walk,WG,2,,,,,,,,,,,,,
B,walk,WG,3,,,,,,,,,,,,,
B,walk,WG,4,,,,,,,,,,,,,
B,walk,WG,5,,,,,,,,,,,,,
B,walk,WG,6,,,,,,,,,,,,,
B,walk,WG,7,,,,,,,,,,,,,
B,walk,WG,8,,,,,,,,,,,,,
B,walk,WS,1,,,,,,,,,,,,,
B,walk,WS,2,,,,,,,,,,,,,
B,walk,WS,3,,,,,,,,,,,,,
B,walk,WS,4,,,,,,,,,,,,,
B,walk,WS,5,,,,,,,,,,,,,
B,walk,WS,6,,,,,,,,,,,,,
B,walk,WS,7,,,,,,,,,,,,,
B,walk,WS,8,,,,,,,,,,,,,
C,library,NG,1,,,,,,,,,,,,,
C,library,NG,2,,,,,,,,,,,,,
C,library,NG,3,,,,,,,,,,,,,
C,library,NG,4,,,,,,,,,,,,,
C,library,NG,5,,,,,,,,,,,,,
C,library,NG,6,,,,,,,,,,,,,
C,library,NG,7,,,,,,,,,,,,,
C,library,NG,8,,,,,,,,,,,,,
C,library,NS,1,,,,,,,,,,,,,
C,library,NS,2,,,,,,,,,,,,,
C,library,NS,3,,,,,,,,,,,,,
C,library,NS,4,,,,,,,,,,,,,
C,library,NS,5,,,,,,,,,,,,,
C,library,NS,6,,,,,,,,,,,,,
C,library,NS,7,,,,,,,,,,,,,
C,library,NS,8,,,,,,,,,,,,,
C,library,WG,1,,,,,,,,,,,,,
C,library,WG,2,,,,,,,,,,,,,
C,library,WG,3,,,,,,,,,,,,,
C,library,WG,4,,,,,,,,,,,,,
C,library,WG,5,,,,,,,,,,,,,
C,library,WG,6,,,,,,,,,,,,,
C,library,WG,7,,,,,,,,,,,,,
C,library,WG,8,,,,,,,,,,,,,
C,library,WS,1,,,,,,,,,,,,,
C,library,WS,2,,,,,,,,,,,,,
C,library,WS,3,,,,,,,,,,,,,
C,library,WS,4,,,,,,,,,,,,,
C,library,WS,5,,,,,,,,,,,,,
C,library,WS,6,,,,,,,,,,,,,
C,library,WS,7,,,,,,,,,,,,,
C,library,WS,8,,,,,,,,,,,,,
C,walk,NG,1,,,,,,,,,,,,,
C,walk,NG,2,,,,,,,,,,,,,
C,walk,NG,3,,,,,,,,,,,,,
C,walk,NG,4,,,,,,,,,,,,,
C,walk,NG,5,,,,,,,,,,,,,
C,walk,NG,6,,,,,,,,,,,,,
C,walk,NG,7,,,,,,,,,,,,,
C,walk,NG,8,,,,,,,,,,,,,
C,walk,NS,1,,,,,,,,,,,,,
C,walk,NS,2,,,,,,,,,,,,,
C,walk,NS,3,,,,,,,,,,,,,
C,walk,NS,4,,,,,,,,,,,,,
C,walk,NS,5,,,,,,,,,,,,,
C,walk,NS,6,,,,,,,,,,,,,
C,walk,NS,7,,,,,,,,,,,,,
C,walk,NS,8,,,,,,,,,,,,,
C,walk,WG,1,,,,,,,,,,,,,
C,walk,WG,2,,,,,,,,,,,,,
C,walk,WG,3,,,,,,,,,,,,,
C,walk,WG,4,,,,,,,,,,,,,
C,walk,WG,5,,,,,,,,,,,,,
C,walk,WG,6,,,,,,,,,,,,,
C,walk,WG,7,,,,,,,,,,,,,
C,walk,WG,8,,,,,,,,,,,,,
C,walk,WS,1,,,,,,,,,,,,,
C,walk,WS,2,,,,,,,,,,,,,
C,walk,WS,3,,,,,,,,,,,,,
C,walk,WS,4,,,,,,,,,,,,,
C,walk,WS,5,,,,,,,,,,,,,
C,walk,WS,6,,,,,,,,,,,,,
C,walk,WS,7,,,,,,,,,,,,,
C,walk,WS,8,,,,,,,,,,,,,
Cp,library,NG,1,,,,,,,,,,,,,
Cp,library,NG,2,,,,,,,,,,,,,
Cp,library,NG,3,,,,,,,,,,,,,
Cp,library,NG,4,,,,,,,,,,,,,
Cp,library,NG,5,,,,,,,,,,,,,
Cp,library,NG,6,,,,,,,,,,,,,
Cp,library,NG,7,,,,,,,,,,,,,
Cp,library,NG,8,,,,,,,,,,,,,
Cp,library,NS,1,,,,,,,,,,,,,
Cp,library,NS,2,,,,,,,,,,,,,
Cp,library,NS,3,,,,,,,,,,,,,
Cp,library,NS,4,,,,,,,,,,,,,
Cp,library,NS,5,,,,,,,,,,,,,
Cp,library,NS,6,,,,,,,,,,,,,
Cp,library,NS,7,,,,,,,,,,,,,
Cp,library,NS,8,,,,,,,,,,,,,
Cp,library,WG,1,,,,,,,,,,,,,
Cp,library,WG,2,,,,,,,,,,,,,
Cp,library,WG,3,,,,,,,,,,,,,
Cp,library,WG,4,,,,,,,,,,,,,
Cp,library,WG,5,,,,,,,,,,,,,
Cp,library,WG,6,,,,,,,,,,,,,
Cp,library,WG,7,,,,,,,,,,,,,
Cp,library,WG,8,,,,,,,,,,,,,
Cp,library,WS,1,,,,,,,,,,,,,
Cp,library,WS,2,,,,,,,,,,,,,
Cp,library,WS,3,,,,,,,,,,,,,
Cp,library,WS,4,,,,,,,,,,,,,
Cp,library,WS,5,,,,,,,,,,,,,
Cp,library,WS,6,,,,,,,,,,,,,
Cp,library,WS,7,,,,,,,,,,,,,
